idbarrio#,namebarrio,id_barrio,No lee %,Asiste a Educación 5-21 años,Asiste a Educación superior,Desempleo,Estrato,barrio,Pertenenci,Cluster,cluster
907,Santa Monica Belalcazar,0907,0.030201342,0.709090909,0.209731544,0.206463196,3,Santa Mónica Belalcázar,0.131410256,2,1
908,Belalcazar,0908,0.028453608,0.594074074,0.192164948,0.238053866,3,Belalcázar,0.050059125,2,4
909,Sucre,0909,0.052631579,0.431707317,0.08460039,0.206151288,1,Sucre,0.111725664,0,4
910,Barrio Obrero,0910,0.0358116,0.482323232,0.127286882,0.263963591,2,Barrio Obrero,0.035250464,0,4
1001,El Dorado,1001,0.016067777,0.722707424,0.450189892,0.172043011,3,El Dorado,0.076163611,1,0
1002,El Guabal,1002,0.022444262,0.696798976,0.310043994,0.210663097,3,El Guabal,0.075968222,2,1
1003,La Libertad,1003,0.022194039,0.682151589,0.301838935,0.207446809,3,La Libertad,0.089901478,2,1
1004,Santa Elena,1004,0.024807056,0.606376456,0.258177141,0.221551052,3,Santa Elena,0.15441048,2,1
1005,Las Acacias,1005,0.018684604,0.695522388,0.26083707,0.206923682,3,Las Acacias,0.03948313,2,1
1006,Santo Domingo,1006,0.016085791,0.7024,0.319034853,0.214151828,3,Santo Domingo,0.085371085,2,1
1007,Jorge Zawadsky,1007,0.018307567,0.739534884,0.328315704,0.265445249,3,Jorge Zawadsky,0.072972973,2,1
1008,Olimpico,1008,0.018967334,0.788617886,0.474885845,0.179992698,4,Olímpico,0.095286538,1,0
1009,Cristobal Colon,1009,0.024081812,0.650383528,0.323839894,0.200878918,3,Cristóbal Colón,0.112514595,2,1
1010,La Selva,1010,0.01386642,0.713754647,0.406055003,0.192447349,3,La Selva,0.070921986,1,1
1011,Departamental,1011,0.012627291,0.782716049,0.479429735,0.175710047,4,Departamental,0.071667651,1,0
1012,Pasoancho,1012,0.022437532,0.737931034,0.402855686,0.182014001,4,Pasoancho,0.115216334,1,1
1013,Panamericano,1013,0.013906185,0.741451209,0.388335409,0.188650639,3,Panamericano,0.061779897,1,1
1014,Colseguros Andes,1014,0.013950785,0.758139535,0.494671575,0.165686473,4,Colseguros Andes,0.076461769,1,0
1015,San Cristobal,1015,0.024733876,0.586448598,0.268941766,0.210369881,3,San Cristóbal,0.063253012,2,1
1016,Las Granjas,1016,0.01434644,0.735883424,0.382040383,0.19718706,3,Las Granjas,0.051993942,2,1
1017,San Judas Tadeo I,1017,0.034747418,0.571553229,0.212950042,0.24576523,3,San Judas Tadeo I,0.06766618,2,4
